"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.RES:WEO(9.0.0)","AUT.NID_NGDP.A","OBS_VALUE","Austria","Gross capital formation, Percent of GDP","Annual","Units","26.960","26.492","26.383","26.250","26.273","25.940","25.426","23.778","24.456","24.204","23.965","23.829","24.734","24.705","23.015","22.859","24.352","24.256","23.941","23.849","24.012","24.457","24.978","25.898","25.509","25.653","27.673","29.227","25.408"
"IMF.RES:WEO(9.0.0)","BEL.NID_NGDP.A","OBS_VALUE","Belgium","Gross capital formation, Percent of GDP","Annual","Units","21.791","21.631","22.301","22.349","22.689","23.783","22.634","20.747","20.964","22.667","23.682","23.970","24.603","25.937","22.027","22.394","24.480","23.588","22.709","23.258","23.322","24.182","24.332","25.552","24.676","24.069","24.442","26.926","25.362"
"IMF.RES:WEO(9.0.0)","BEL.GGR_NGDP.A","OBS_VALUE","Belgium","Revenue, General government, Percent of GDP","Annual","Units","48.136","49.049","49.450","49.934","49.848","49.319","49.612","49.860","49.183","49.080","49.147","49.029","48.629","49.680","49.083","49.769","50.585","51.896","52.738","52.241","51.406","50.947","51.491","51.403","49.703","49.418","49.537","48.636","49.201"
"IMF.RES:WEO(9.0.0)","AUT.GGX_NGDP.A","OBS_VALUE","Austria","Expenditure, General government, Percent of GDP","Annual","Units","56.128","55.935","52.539","54.351","50.500","50.940","51.815","51.612","51.762","54.316","51.672","50.920","49.720","50.404","54.597","53.357","51.341","51.753","52.428","52.396","51.216","50.640","49.821","49.193","49.074","57.313","56.027","53.010","52.691"
"IMF.RES:WEO(9.0.0)","AUT.GGXWDG_NGDP.A","OBS_VALUE","Austria","Gross debt, General government, Percent of GDP","Annual","Units","68.238","68.180","63.373","69.197","61.340","66.109","67.238","67.440","66.412","65.912","69.428","68.176","65.813","69.528","80.752","83.654","83.356","82.935","82.431","85.210","85.615","83.419","79.057","74.586","71.006","83.183","82.395","78.376","78.508"
"IMF.RES:WEO(9.0.0)","BEL.GGXCNL_NGDP.A","OBS_VALUE","Belgium","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.509","-4.003","-2.151","-1.025","-0.648","-0.080","0.233","-0.044","-1.864","-0.239","-2.715","0.240","0.067","-1.095","-5.448","-4.133","-4.441","-4.348","-3.164","-3.175","-2.475","-2.431","-0.763","-1.048","-2.048","-9.035","-5.402","-3.620","-4.096"
"IMF.RES:WEO(9.0.0)","ITA.GGR_NGDP.A","OBS_VALUE","Italy","Revenue, General government, Percent of GDP","Annual","Units","44.248","44.741","46.344","45.018","45.302","43.948","43.951","43.613","43.742","43.206","42.955","43.954","45.274","45.167","45.996","45.637","45.502","47.495","48.026","47.897","47.785","46.575","46.274","46.129","46.974","47.405","47.160","46.822","46.715"
"IMF.RES:WEO(9.0.0)","LUX.NGDP_RPCH.A","OBS_VALUE","Luxembourg","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.432","1.515","5.937","6.492","8.421","8.442","3.074","3.225","2.620","4.230","2.483","6.016","8.099","-0.302","-3.239","3.760","1.044","1.650","3.172","2.623","2.269","4.978","1.317","1.611","2.749","-0.510","6.930","-1.097","0.099"
"IMF.RES:WEO(9.0.0)","ITA.NGSD_NGDP.A","OBS_VALUE","Italy","Gross national savings, Percent of GDP","Annual","Units","22.088","22.338","22.609","21.884","21.505","21.052","21.459","21.556","20.796","21.162","20.646","20.891","21.258","19.316","17.881","17.574","17.935","17.769","18.036","18.831","18.524","20.172","20.609","21.162","21.521","21.660","24.101","22.873","23.065"
"IMF.RES:WEO(9.0.0)","SMR.GGX_NGDP.A","OBS_VALUE","San Marino, Republic of","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","","","","","18.975","19.330","19.655","20.653","22.032","24.837","24.363","25.376","30.576","30.160","23.732","26.293","23.436","25.566","24.507","22.449","59.178","37.088","21.663","21.678"
