COUNTRY,YEAR,RF_Forecast,RF_Lower_95,RF_Upper_95,RF_CI_Width,XGB_Forecast,XGB_Lower_95,XGB_Upper_95,XGB_CI_Width,Ensemble_Forecast,Ensemble_Lower_95,Ensemble_Upper_95
Cyprus,2026,3.2477659662430436,-0.2210805372807018,6.007322738095237,6.228403275375938,3.745057,3.7450599670410156,3.7450599670410156,0.0,3.496411536130555,1.7619897148801569,4.876191352568126
Czech Republic,2024,1.8588063306255773,-2.101051388888889,6.382490037950664,8.483541426839553,2.4933312,2.4933295249938965,2.4933295249938965,0.0,2.1760687622747636,0.1961390680525037,4.43790978147228
Czech Republic,2025,2.006078428995471,0.022569138198757815,4.322003472222222,4.299434334023464,2.2441218,2.2441201210021973,2.2441201210021973,0.0,2.125100109463861,1.1333446296004774,3.2830617966122095
Czech Republic,2026,2.092769201410716,0.2075485294117648,3.9055612132352935,3.6980126838235288,2.40007,2.400068521499634,2.400068521499634,0.0,2.2464195767109123,1.3038085254556993,3.1528148673674634
Côte d'Ivoire,2024,6.553295773324984,4.4063929687500005,8.816541071428569,4.410148102678568,5.8061924,5.80619478225708,5.80619478225708,0.0,6.179744085698136,5.106293875503541,7.311367926842824
Côte d'Ivoire,2025,6.556773960974511,2.17545,11.4395485,9.264098500000001,5.8030643,5.803062915802002,5.803062915802002,0.0,6.1799191536439935,3.989256457901001,8.621305707901001
Côte d'Ivoire,2026,6.160500099116079,2.984451590909091,8.554542391304347,5.570090800395256,5.7132177,5.713216781616211,5.713216781616211,0.0,5.936858917203303,4.348834186262651,7.133879586460279
Denmark,2024,3.4489258528867808,-1.3821008695652173,7.816261594202899,9.198362463768117,2.927968,2.927969455718994,2.927969455718994,0.0,3.18844693904715,0.7729342930768884,5.372115524960947
Denmark,2025,2.396805056104368,-0.46705560200668894,5.25801788235294,5.725073484359629,2.7810562,2.7810580730438232,2.7810580730438232,0.0,2.588930610899779,1.157001235518567,4.0195379776983815
Denmark,2026,2.216429353524373,-0.10382374999999999,4.517642272727271,4.6214660227272715,2.7649648,2.764963388442993,2.764963388442993,0.0,2.4906970862394204,1.3305698192214965,3.6413028305851323
Djibouti,2024,4.720017560397681,0.6577539251207729,8.285637352941173,7.6278834278204,4.5759664,4.5759711265563965,4.5759711265563965,0.0,4.6479919592912475,2.6168625258385845,6.430804239748785
